product-id,date-retrieved,vendor,title,price-eur,availability,evaluation,ratingcount
799743,2024-03-22,MSI,MSI Thin GF63 12VF-290,1299.0,Sofort ab Lager / Express,4,40
823687,2024-03-22,MSI,MSI Thin GF63 12UC-674,689.0,Sofort ab Lager / Express,4,40
810615,2024-03-22,MSI,MSI Katana 17 B13VGK-825,1499.0,Sofort ab Lager / Express,4,71
810614,2024-03-22,MSI,MSI Katana 15 B13VGK-1434,1399.0,Sofort ab Lager / Express,5,94
816133,2024-03-22,MSI,MSI Katana 17 B13VFK-1011,1249.0,Sofort ab Lager / Express,4,71
816130,2024-03-22,MSI,MSI Bravo 15 B7ED-021,899.0,Sofort ab Lager/Express,0,0
789557,2024-03-22,MSI,MSI Cyborg 15 A12VF-096,999.0,Sofort ab Lager / Express,4,56
823672,2024-03-22,MSI,MSI Raider GE78 HX 14VGG-231,3199.0,Sofort ab Lager/Express,5,1
823688,2024-03-22,MSI,MSI Cyborg 15 A13VF-881,1099.0,Sofort ab Lager/Express,4,56
792579,2024-03-22,Samsung,SAMSUNG Galaxy Book3 360,899.0,Sofort ab Lager / Express,0,0
803646,2024-03-22,Samsung,SAMSUNG Galaxy Book3 360,799.0,Sofort ab Lager / Express,0,0
809426,2024-03-22,Samsung,SAMSUNG Galaxy Book3 Pro,999.0,Sofort ab Lager / Express,0,0
792576,2024-03-22,Samsung,SAMSUNG Galaxy Book3 360,999.0,Sofort ab Lager/Express,0,0
844693,2024-03-22,Samsung,SAMSUNG Galaxy Book3 360 B-Ware,835.99,Sofort ab Lager/Express,0,0
847536,2024-03-22,Samsung,SAMSUNG Galaxy Book3 Ultra B-Ware,2351.02,Sofort ab Lager/Express,4,1
827315,2024-03-22,Samsung,SAMSUNG Galaxy Book3 Ultra B-Ware,2015.99,Sofort ab Lager/Express,4,1
809378,2024-03-22,Samsung,SAMSUNG Galaxy Book3 Pro,1599.0,Sofort ab Lager / Express,0,0
843025,2024-03-22,Samsung,SAMSUNG Galaxy Book3 360 B-Ware,797.99,Sofort ab Lager/Express,0,0
845295,2024-03-22,Samsung,SAMSUNG Galaxy Book3 360 B-Ware,862.99,Sofort ab Lager/Express,0,0
